nct_id,overall_status,start_date,completion_date,condition,Study design info,eligibility,has_expanded_access,enrollment
NCT04385069,Recruiting,"April 16, 2020","July 5, 2020","COV-HI,COVID-19,COVID-19 (COV) Hyperinflammatory (HI) Syndrome","Cohort,Retrospective","sampling_method:Non-Probability Sample,gender:All,Min Age:18 Years,Max Age:N/A",No,500
NCT04389567,Completed,"May 12, 2020","May 25, 2020",COVID-19,"Case-Only,Retrospective","sampling_method:Non-Probability Sample,gender:All,Min Age:18 Years,Max Age:N/A",No,10
NCT04554433,Not yet recruiting,"October 1, 2020","June 1, 2022","Covid-19,Drug Effect","Randomized,Parallel Assignment,(A) group: will receive the new protocol .
(B) group: Will receive the standard protocol .,Treatment,None (Open Label)","gender:All,Min Age:20 Years,Max Age:60 Years",No,80
NCT04290780,Recruiting,"March 9, 2020","October 30, 2020",Infection Viral,"Cohort,Prospective","sampling_method:Non-Probability Sample,gender:All,Min Age:N/A,Max Age:N/A",No,300
NCT04535791,Recruiting,"July 15, 2020",July 2021,"Covid19,Vitamin D","Randomized,Parallel Assignment,Blinded randomized clinical trial,Treatment,Triple (Participant, Care Provider, Investigator),To ensure that participants are unaware of the intervention they are receiving, both the capsules containing vitamin D3 and the placebo will be the same. Cholecalciferol (Vitamin D3), 4000UI tablets will be purchased from the MEDIX laboratory (trade name HISTOFIL). The placebo will consist of corn starch, which will be purchased from a supplier, who packages it in a 25 kg bag. As it is a dry product, the supplier guarantees that the corn starch maintains its characteristics for 3 years, as long as it is stored in closed container, in a cool and dry place, free of moisture, dust, insects and rodents. The encapsulation of the placebo and vitamin D3 will be carried out by an external supplier with capsules of the capsugel brand, maintaining quality control to avoid contamination of the product during storage and encapsulation. An external researcher will have a list to which group each subject belongs, without being in contact with the research.","gender:All,Min Age:18 Years,Max Age:70 Years",No,400
NCT04438629,Recruiting,"March 26, 2020","November 26, 2020","Allergy and Immunology,Infection Viral","Cohort,Prospective","sampling_method:Non-Probability Sample,gender:All,Min Age:18 Years,Max Age:90 Years",No,80
NCT04351646,Not yet recruiting,"April 15, 2020","April 15, 2022",COVID-19,"Cohort,Prospective","sampling_method:Non-Probability Sample,gender:All,Min Age:18 Years,Max Age:N/A",No,500
NCT04483973,Not yet recruiting,August 2020,December 2020,"Covid19,Coronavirus,Coronavirus Infection,Corona Virus Infection","Randomized,Parallel Assignment,Treatment,Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)","gender:All,Min Age:18 Years,Max Age:N/A",No,60
NCT04479358,Recruiting,"September 10, 2020","March 1, 2021",COVID-19,"Randomized,Parallel Assignment,Two sub-studies in parallel, each of three arms (maximum).,Treatment,None (Open Label)","gender:All,Min Age:18 Years,Max Age:N/A",No,332
NCT04370171,Not yet recruiting,May 2020,December 2020,"Diabetes,Covid-19","Cohort,Prospective","sampling_method:Non-Probability Sample,gender:All,Min Age:18 Years,Max Age:N/A",No,200
NCT04349410,Completed,"April 11, 2020","September 14, 2020",CoVid 19 Positive,"Randomized,Factorial Assignment,Measurement of CoVid-19 pneumonia (CVP) and inflammation will be made using a patented method (FMTVDM #9566037 and adjunct USPTO submissions deemed covered by USPTO under the original patent #9566037).
Following FMTVDM measurements, patients will be randomized into one of eleven treatment arms - others may be added as information becomes available. Forty-eight to 72-hours later - providing adequate time for treatment effect - FMTVDM will be repeated.
Patients with improvement in FMTVDM will be maintained on their original treatment. FMTVDM measured treatment failure will result in a change to another arm of treatment. FMTVDM measurement showing no change will be treated by adding an additional treatment arm to patient care. Sequential FMTVDM studies will be carried out.
Simultaneous Immune and ventilatory RX. Ventilatory support per ARDS protocol. Applicable blood tests and PCR will be included.,Treatment,Single (Investigator),As FMTVDM is an absolute quantification method, which cannot be influenced by human error or bias, the final determinant of success or failure of treatment cannot be influenced. However, given the pandemic, medical, nursing, technologist and other healthcare providers will NOT be blinded to data. The availability of the data will allow real time assessment and decision making by the clinicians involved in the care of the patient.","gender:All,Min Age:N/A,Max Age:N/A",No,1800
NCT04438954,Completed,"May 5, 2020","June 18, 2020","Multiple Sclerosis,Covid-19","Case-Only,Prospective","sampling_method:Probability Sample,gender:All,Min Age:21 Years,Max Age:58 Years",No,30
NCT04471701,Recruiting,"April 13, 2020","August 31, 2020","Covid19,SARS-CoV Infection,Survey, Family Life,Epidemic Disease,Self-Assessment","Cohort,Cross-Sectional","sampling_method:Non-Probability Sample,gender:All,Min Age:18 Years,Max Age:N/A",No,200000
NCT04392401,Recruiting,"May 11, 2020",February 2021,"Intensive Care Unit,SARS-Cov-2","Cohort,Prospective","sampling_method:Non-Probability Sample,gender:All,Min Age:18 Years,Max Age:N/A",No,200
NCT04368000,"Active, not recruiting","April 29, 2020",January 2021,"Respiratory Failure,COVID-19","Randomized,Parallel Assignment,Treatment,None (Open Label)","gender:All,Min Age:18 Years,Max Age:N/A",No,30
NCT04320056,Recruiting,"April 20, 2020","October 31, 2021","Coronavirus,Pneumonia,Oxygen Toxicity","Randomized,Parallel Assignment,Other,None (Open Label)","gender:All,Min Age:18 Years,Max Age:N/A",No,216
NCT04394442,Recruiting,"March 21, 2020",August 2020,COVID-19,"Randomized,Parallel Assignment,Treatment,None (Open Label)","gender:All,Min Age:18 Years,Max Age:70 Years",No,200
NCT04456010,Recruiting,"June 1, 2020","July 30, 2020","COVID19,Fertility Issues,ART","Other,Prospective","sampling_method:Non-Probability Sample,gender:All,Min Age:18 Years,Max Age:60 Years",No,600
NCT04313322,Recruiting,"March 16, 2020","September 30, 2020",Use of Stem Cells for COVID-19 Treatment,"N/A,Single Group Assignment,Patients positively diagnosed with COVID-19,Treatment,None (Open Label),None. This is a direct study for the potential effects of WJ-MSCs on COVID-19 outcome.","gender:All,Min Age:18 Years,Max Age:N/A",No,5
NCT04453540,Not yet recruiting,"July 1, 2020","August 30, 2020","Infectious Disease,Pneumonia,Molecular Diagnosis,Covid-19,Antibiotic Stewardship","Case-Only,Retrospective","sampling_method:Non-Probability Sample,gender:All,Min Age:18 Years,Max Age:100 Years",No,150
NCT04411511,Recruiting,"May 6, 2020","May 6, 2021","Covid-19,Obesity, Childhood,Lifestyle,Lifestyle, Healthy,Overweight, Childhood,Children, Only,Family","Cohort,Prospective","sampling_method:Probability Sample,gender:All,Min Age:4 Years,Max Age:17 Years",No,4000
NCT04406064,Not yet recruiting,September 2020,June 2025,Viral Infection,"N/A,Single Group Assignment,Treatment,None (Open Label)","gender:All,Min Age:N/A,Max Age:N/A",No,100
NCT04354389,Withdrawn,"July 25, 2020","November 30, 2020",COVID-19,"Randomized,Sequential Assignment,Treatment,Triple (Participant, Care Provider, Investigator)","gender:All,Min Age:18 Years,Max Age:N/A",No,0
NCT04447144,Recruiting,"June 1, 2020","September 1, 2020","Covid19,Chronic Inflammation,Non-Communicable Chronic Diseases","Cohort,Prospective","sampling_method:Non-Probability Sample,gender:All,Min Age:18 Years,Max Age:80 Years",No,200
NCT04413045,Completed,"May 20, 2020","July 28, 2020",COVID-19,"Other,Retrospective","sampling_method:Non-Probability Sample,gender:All,Min Age:N/A,Max Age:N/A",No,61
NCT04368338,Recruiting,"April 28, 2020","September 28, 2020","Covid-19,Lung Ultrasound,Respiratory Complication","Case-Only,Prospective","sampling_method:Non-Probability Sample,gender:All,Min Age:18 Years,Max Age:N/A",No,100
NCT04459689,Recruiting,"March 15, 2020","March 31, 2022","Primary Immune Deficiency,COVID","Case-Only,Prospective","sampling_method:Non-Probability Sample,gender:All,Min Age:N/A,Max Age:N/A",No,200
NCT04387409,"Active, not recruiting","May 25, 2020","May 1, 2021","Infection, Respiratory Tract","Randomized,Parallel Assignment,Subjects who fulfil the inclusion/exclusion criteria will be centrally randomized in a 1:1 ratio to receive a single dose (0.1 ml) of either VPM1002 or Placebo.,Prevention,Triple (Participant, Investigator, Outcomes Assessor),The reconstitution and administration of trial intervention will be done by unblinded site personnel who will not be involved in the collection or evaluation of outcome data.","gender:All,Min Age:18 Years,Max Age:N/A",No,59
NCT04353401,Enrolling by invitation,April 2020,December 2020,"Coronavirus Infection,SARS-CoV-2","Cohort,Prospective","sampling_method:Non-Probability Sample,gender:All,Min Age:18 Years,Max Age:N/A",No,5000
NCT04291729,Completed,"February 17, 2020","March 19, 2020",COVID-19,"N/A,Single Group Assignment,Treatment,None (Open Label)","gender:All,Min Age:18 Years,Max Age:75 Years",No,11
NCT04453670,Completed,"March 10, 2020","May 15, 2020",COVID 19,"Case-Only,Prospective","sampling_method:Non-Probability Sample,gender:All,Min Age:18 Years,Max Age:N/A",No,7
NCT04377165,Terminated,"May 6, 2020","August 26, 2020","COVID,Influenza,Gastroenteritis","Randomized,Sequential Assignment,Prevention,None (Open Label)","gender:All,Min Age:18 Years,Max Age:90 Years",No,34
NCT04352803,Not yet recruiting,April 2020,April 2026,"Covid-19 Pneumonia,Cyotokine Storm","Non-Randomized,Sequential Assignment,This is an Interventional, Prospective, Open label (Voluntary Assignment), single to multiple center expansion, unmatched controlled, Sequentially Interim analysis tested Trial,Treatment,None (Open Label)","gender:All,Min Age:18 Years,Max Age:90 Years",No,20
NCT04447235,Recruiting,"July 23, 2020",February 2021,"Cancer,COVID,Coronavirus Infection","Randomized,Parallel Assignment,Treatment,Double (Participant, Care Provider),doubled-blind and placebo-controlled","gender:All,Min Age:18 Years,Max Age:N/A",No,176
NCT04468802,Completed,"February 1, 2020","July 1, 2020","Covid19,Measles Vaccine,Mortality","Case-Only,Prospective","sampling_method:Probability Sample,gender:All,Min Age:N/A,Max Age:N/A",No,32
NCT04322188,Completed,"March 19, 2020","May 8, 2020",Severe Acute Respiratory Syndrome (ARDS) Secondary to SARS-COV-2 Infection,"Cohort,Retrospective","sampling_method:Non-Probability Sample,gender:All,Min Age:18 Years,Max Age:N/A",No,220
NCT04412395,Not yet recruiting,"June 1, 2020","September 30, 2020","Corona Virus Infection,Middle East Respiratory Syndrome (MERS),Acute Respiratory Distress Syndrome,Coronavirus Infection,COVID-19,SARS-CoV 2","Randomized,Parallel Assignment,Randomized, double-blind, placebo-controlled, clinical trial.,Treatment,Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)","gender:All,Min Age:18 Years,Max Age:80 Years",No,516
NCT04326075,Suspended,October 2020,"November 9, 2020","CPAP Ventilation,COVID-19,Emergency Departments","Randomized,Parallel Assignment,Treatment,None (Open Label)","gender:All,Min Age:18 Years,Max Age:70 Years",No,900
NCT04416399,Recruiting,"July 16, 2020","December 30, 2020",Coronavirus Infection,"Randomized,Parallel Assignment,Randomised, open label parallel group controlled clinical trial,Treatment,None (Open Label)","gender:All,Min Age:18 Years,Max Age:N/A",No,478
NCT04551690,Completed,"April 15, 2020","July 15, 2020","Pregnancy,Covid19,Labor (Obstetrics)--Complications,Demography","Case-Control,Cross-Sectional","sampling_method:Non-Probability Sample,gender:Female,Min Age:18 Years,Max Age:45 Years",No,720
NCT04527081,"Active, not recruiting","August 31, 2020","September 30, 2021",COVID-19,"Randomized,Parallel Assignment,Prevention,None (Open Label)","gender:All,Min Age:20 Years,Max Age:65 Years",No,30
NCT04443764,Not yet recruiting,"June 22, 2020","July 13, 2020","Migrants,Anxiety,Depression","Other,Prospective","sampling_method:Probability Sample,gender:All,Min Age:18 Years,Max Age:N/A",No,287
NCT04366297,Completed,"January 12, 2020","February 25, 2020","Cardiac Arrest,Emergencies","Randomized,Crossover Assignment,Treatment,Single (Outcomes Assessor)","gender:All,Min Age:18 Years,Max Age:N/A",No,41
NCT04565106,Completed,"April 15, 2020","May 31, 2020","Covid19,Hypoxemic Respiratory Failure,Hypoxemia","Cohort,Prospective","sampling_method:Non-Probability Sample,gender:All,Min Age:18 Years,Max Age:N/A",No,16
NCT04476680,Not yet recruiting,"September 1, 2020","April 28, 2021","SARS-CoV Infection,Vitamin D Deficiency,Covid19,Acute Respiratory Tract Infection","Randomized,Parallel Assignment,Double-blind randomized design comparing 1000 I.U. vitamin D versus matched placebo.,Prevention,Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor),Allocation by computer-generated randomisation schedule (http://www.randomization.com) The vitamin D supplement and the placebo supplement will be manufactured by Pure Encapsulations, Sudbury, Massachusetts, USA. To ensure double-blinding for the investigator and participant in situ, the active and placebo supplements will be presented as identical (size and appearance) tablets that will be indiscernible from each other.","gender:All,Min Age:18 Years,Max Age:30 Years",No,4400
NCT04395859,Recruiting,"May 27, 2020",December 2021,"Age Related Macular Degeneration,Diabetic Macular Edema,Retinal Vein Occlusion","Cohort,Prospective","sampling_method:Non-Probability Sample,gender:All,Min Age:18 Years,Max Age:N/A",No,1500
NCT04333355,Recruiting,"May 8, 2020","April 30, 2021",COVID-19,"N/A,Single Group Assignment,Treatment,None (Open Label)","gender:All,Min Age:18 Years,Max Age:N/A",No,20
NCT04377035,Recruiting,"March 31, 2020","March 1, 2021",COVID-19,"Cohort,Prospective","sampling_method:Non-Probability Sample,gender:All,Min Age:18 Years,Max Age:N/A",No,1000
NCT04379037,Recruiting,"June 27, 2020","November 1, 2020",Severe Acute Respiratory Syndrome Coronavirus 2,"N/A,Single Group Assignment,The objective of this study is to determine the therapeutic effect of transcutaneous vagus nerve stimulation in patients with moderate, severe or critical pneumonia associated with Coronavirus Disease 2019 (COVID-19).,Treatment,None (Open Label)","gender:All,Min Age:18 Years,Max Age:N/A",No,50
NCT04320732,Recruiting,"March 27, 2020","March 20, 2030",Coronavirus,"Case-Control,Prospective","sampling_method:Probability Sample,gender:All,Min Age:18 Years,Max Age:N/A",No,250000
NCT04360733,Recruiting,"April 20, 2020",September 2022,"SARS-CoV 2,COVID","Other,Prospective","sampling_method:Non-Probability Sample,gender:All,Min Age:18 Years,Max Age:N/A",No,200
NCT04465058,Recruiting,"July 8, 2020","August 10, 2020",COVID19,"Other,Prospective","sampling_method:Probability Sample,gender:All,Min Age:N/A,Max Age:N/A",No,50
NCT04470323,Recruiting,"July 22, 2020",November 2020,T Cell Deficiency,"Case-Control,Prospective","sampling_method:Non-Probability Sample,gender:All,Min Age:N/A,Max Age:N/A",No,100
NCT04515108,Completed,"March 10, 2020","August 10, 2020","Pregnancy, Infections in,Covid19","Cohort,Retrospective","sampling_method:Non-Probability Sample,gender:Female,Min Age:18 Years,Max Age:42 Years",No,108
NCT04473157,Recruiting,"July 1, 2020","October 30, 2020","Anosmia,Covid19,Dysgeusia","Case-Only,Prospective","sampling_method:Non-Probability Sample,gender:All,Min Age:18 Years,Max Age:N/A",No,50
NCT04509947,Recruiting,"August 11, 2020","October 26, 2021",Healthy,"Randomized,Parallel Assignment,Prevention,Double (Participant, Investigator)","gender:All,Min Age:20 Years,Max Age:N/A",No,250
NCT04420273,"Active, not recruiting","July 2, 2020","December 30, 2021",Melanoma,"Randomized,Parallel Assignment,Randomized Control Clinical Trial Arm 1: SSE educational intervention with optional physician supervised non-invasive adhesive patch-based home sample collection of a concerning mole for genomic analysis Arm 2: Active control,Prevention,Triple (Care Provider, Investigator, Outcomes Assessor)","gender:Female,Min Age:18 Years,Max Age:N/A",No,1000
NCT04522466,Terminated,"April 3, 2020","May 28, 2020",Sars-CoV2,"N/A,Single Group Assignment,Treatment,None (Open Label)","gender:All,Min Age:18 Years,Max Age:N/A",No,7
NCT04466098,Recruiting,"July 30, 2020","December 1, 2021","Acute Respiratory Distress Syndrome,ARDS (Moderate or Severe),COVID-19 Pneumonia","Randomized,Parallel Assignment,This is a randomized (2:1 ratio) placebo controlled trial.,Treatment,Triple (Participant, Care Provider, Investigator),Patients will be randomly assigned (2:1) to receive either 300 × 10^6 MSC or vehicle placebo control. Randomization will be stratified by risk (high versus standard risk based on the presence of preexisting co-morbidities), using permuted block sizes of 3. The allocation sequence will be accessed by each cell processing laboratory through ONCORE. Personnel in the cell processing laboratories are not masked to the treatment group, but patients, clinical staff, and investigators will be unaware of treatment assignment. To maintain masking of the investigators and clinicians, bags containing the study products and intravenous tubing had opaque coverings applied in the cell laboratories.","gender:All,Min Age:18 Years,Max Age:80 Years",No,30
NCT04445493,Not yet recruiting,"October 1, 2020",June 2021,"Stroke, Acute,COVID-19","Cohort,Prospective","sampling_method:Non-Probability Sample,gender:All,Min Age:18 Years,Max Age:N/A",No,250
NCT04422444,Recruiting,"June 1, 2020","June 1, 2022","COVID19,Post Intensive Care Unit Syndrome","Cohort,Prospective","sampling_method:Non-Probability Sample,gender:All,Min Age:18 Years,Max Age:90 Years",No,100
NCT04360538,Recruiting,"April 8, 2020","December 30, 2021","Critical Illness,Corona Virus Infection,Respiratory Failure,Covid-19","Cohort,Prospective","sampling_method:Probability Sample,gender:All,Min Age:18 Years,Max Age:N/A",No,500
NCT04542967,Recruiting,"June 23, 2020","September 30, 2020",Severe COVID-19 Disease,"Randomized,Parallel Assignment,Treatment,Double (Care Provider, Outcomes Assessor)","gender:All,Min Age:18 Years,Max Age:90 Years",No,150
NCT04350671,Enrolling by invitation,"April 15, 2020","April 24, 2020",COVID-19,"Randomized,Parallel Assignment,The present study is a randomized, double-blind, placebo-controlled, clinical trial, with the approval of the ethics committee will be conducted on patients who have a positive test confirming COVID-19 in Loghman Hakim Medical Education Center in Tehran. Patients will be randomly assigned to the two arms of the study and after completing the course of treatment and collecting and analyzing the necessary information from each patient, the results of the study will be published both on this site and in the form of an article in a reputable international journal.,Treatment,Triple (Participant, Care Provider, Investigator)","gender:All,Min Age:50 Years,Max Age:N/A",No,40
NCT04405973,Recruiting,"May 19, 2020","August 31, 2020","COVID-19,SARS-CoV 2,Extracorporeal Membrane Oxygenation,ARDS","Cohort,Retrospective","sampling_method:Non-Probability Sample,gender:All,Min Age:18 Years,Max Age:100 Years",No,100
NCT04361396,Recruiting,October 2020,October 2020,Coronavirus Infection,"N/A,Single Group Assignment,Other,None (Open Label)","gender:All,Min Age:18 Years,Max Age:N/A",No,40
NCT04527224,Not yet recruiting,"December 1, 2020","April 1, 2022",Covid19,"N/A,Single Group Assignment,Treatment,None (Open Label)","gender:All,Min Age:19 Years,Max Age:80 Years",No,10
NCT04353674,Recruiting,"April 28, 2020",January 2021,"COVID-19,SARS","Randomized,Sequential Assignment,Single centre, prospective, randomized controlled pilot study with approximately 40 patients to be included: 20 in the control group and 20 patients in the L-MOD-SLEDD group.,Treatment,None (Open Label)","gender:All,Min Age:18 Years,Max Age:N/A",No,40
NCT04490278,Recruiting,"September 29, 2020","July 30, 2021",Post ICU Syndrome,"N/A,Single Group Assignment,Supportive Care,None (Open Label)","gender:All,Min Age:18 Years,Max Age:100 Years",No,80
NCT04341168,Not yet recruiting,April 2020,October 2020,"COVID-19,SARS-CoV-2","Cohort,Prospective","sampling_method:Non-Probability Sample,gender:All,Min Age:N/A,Max Age:N/A",No,160
NCT04336462,Recruiting,"February 15, 2020","August 1, 2020",COVID-19,"Randomized,Parallel Assignment,Treatment,Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)","gender:All,Min Age:18 Years,Max Age:85 Years",No,100
NCT04423991,Completed,"March 10, 2020","June 4, 2020","COVID-19,Coronavirus,Mortality","Non-Randomized,Parallel Assignment,Diagnostic,None (Open Label)","gender:All,Min Age:N/A,Max Age:N/A",No,290
NCT04338945,Completed,"March 15, 2020","May 1, 2020",COVID,"Cohort,Prospective","sampling_method:Non-Probability Sample,gender:All,Min Age:18 Years,Max Age:N/A",No,800
NCT04344327,Completed,"April 10, 2020","April 21, 2020","Infection Viral,Infection, Hospital,COVID","Cohort,Retrospective","sampling_method:Probability Sample,gender:All,Min Age:18 Years,Max Age:N/A",No,2878
NCT04508920,Recruiting,"May 15, 2019","July 15, 2021","Cardiovascular Diseases,Heart Failure","Cohort,Prospective","sampling_method:Non-Probability Sample,gender:All,Min Age:18 Years,Max Age:80 Years",No,76
NCT04447781,Recruiting,"July 15, 2020","February 22, 2022","Coronavirus Infection,SARS-CoV 2","Randomized,Sequential Assignment,Prevention,Triple (Participant, Investigator, Outcomes Assessor),Part A: Open Label Part B: Double-blind","gender:All,Min Age:19 Years,Max Age:64 Years",No,160
NCT04320277,Not yet recruiting,"May 16, 2020","July 30, 2020",Pharmacological Action,"Non-Randomized,Crossover Assignment,Patients. All consecutive patients with mild to moderate COVID-19 infection, older than 18, Patients should present fever, cough and myalgia and weakness and radiological findings of pneumonia.
Controls. All consecutive patients with mild to moderate COVID-19 infection, older than 18, admitted during the previous 2 weeks, who were treated with antiviral and/or hydroxychloroquine.,Treatment,None (Open Label)","gender:All,Min Age:18 Years,Max Age:85 Years",No,200
NCT04527497,Recruiting,"August 1, 2020","August 31, 2021",COVID-19,"Cohort,Prospective","sampling_method:Non-Probability Sample,gender:All,Min Age:18 Years,Max Age:N/A",No,50
NCT04558996,Recruiting,"March 1, 2020","March 31, 2021","Covid19,Pregnancy Complications,Premature Rupture of Membrane,Abruptio Placentae,Prelabor Rupture of Membranes,Stillbirth","Cohort,Prospective","sampling_method:Probability Sample,gender:Female,Min Age:18 Years,Max Age:N/A",No,3000
NCT04413747,Not yet recruiting,"August 15, 2020","September 30, 2021","Coronavirus Infection,Cytokine Storm,Mental Disorder","N/A,Single Group Assignment,Prospective cohort study based on clinical assessment. Model- based adjusted outcome via hierarchical comparison of control curves using COVID19 national epidemic data with cyber layer algorithm of population,Supportive Care,None (Open Label),identifier number (ID) without any refer to clinical assessment or to patients","gender:All,Min Age:18 Years,Max Age:75 Years",No,1000
NCT04533360,Recruiting,"September 28, 2020","December 28, 2020",Covid19,"Ecologic or Community,Prospective","sampling_method:Probability Sample,gender:All,Min Age:18 Years,Max Age:N/A",No,3000
NCT04356937,"Active, not recruiting","April 20, 2020","October 1, 2020",SARS-CoV 2,"Randomized,Parallel Assignment,Prospective, multi-center, randomized,double blind, placebo-controlled trial,Treatment,Double (Participant, Investigator),Subjects who meet all inclusion criteria and none of the exclusion criteria will be randomized 2:1 to tocilizumab or placebo.","gender:All,Min Age:18 Years,Max Age:85 Years",No,243
NCT04422353,Recruiting,"May 1, 2020","December 30, 2024","Parkinson Disease,Parkinson Disease 10","Non-Randomized,Parallel Assignment,Parallel Assignment,Treatment,Double (Investigator, Outcomes Assessor)","gender:All,Min Age:50 Years,Max Age:80 Years",No,60
NCT04439071,Recruiting,"July 9, 2020","January 30, 2021","Pneumonia,COVID-19,Coronavirus","Randomized,Parallel Assignment,Treatment,Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)","gender:All,Min Age:18 Years,Max Age:N/A",N/A,380
NCT04470583,Not yet recruiting,July 2020,"December 2, 2021","COVID-19,2019 Novel Coronavirus Infection,COVID-19 Infection","Cohort,Retrospective","sampling_method:Non-Probability Sample,gender:All,Min Age:18 Years,Max Age:60 Years",No,116
NCT04347941,Recruiting,"July 11, 2020","September 11, 2021","ARDS, Human,Mechanical Ventilation Complication,COVID19","Randomized,Parallel Assignment,Treatment,Double (Investigator, Outcomes Assessor)","gender:All,Min Age:18 Years,Max Age:N/A",No,200
NCT04470869,Recruiting,"June 12, 2020","October 12, 2021",Post Traumatic Stress Disorder,"Non-Randomized,Sequential Assignment,In this study we aimed to investigated the impact of this intervention to prevent the PTSD in the relatives by comparing the PTSD prevalence in a group of relatives that loved ones were hospitalized after the confinement measure but before the OLAF intervention and a group of relatives that loved ones were hospitalized during the OLAF intervention.,Prevention,None (Open Label)","gender:All,Min Age:18 Years,Max Age:N/A",No,130
NCT04422587,"Active, not recruiting","March 13, 2020",June 2021,Emergencies,"Cohort,Other","sampling_method:Non-Probability Sample,gender:All,Min Age:15 Years,Max Age:N/A",No,1860
NCT04402827,Recruiting,"August 1, 2020","January 30, 2021","Health Care Worker Patient Transmission,Receptor Site Alteration,Susceptibility, Disease,Immune Response","Case-Control,Prospective","sampling_method:Non-Probability Sample,gender:All,Min Age:18 Years,Max Age:65 Years",No,60
NCT04455243,Not yet recruiting,"August 1, 2020","August 30, 2021",COVID-19,"Randomized,Parallel Assignment,Treatment,Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)","gender:All,Min Age:18 Years,Max Age:N/A",No,1180
NCT04359290,Recruiting,"July 1, 2020",July 2021,"ARDS, Human,COVID","N/A,Single Group Assignment,Ruxolitinib will be administered p.o. or by gavage feeding starting with 2 x 10mg bid dose at day 1 and can be increased up to 2 x 15mg bid from day 2 to day 28 (max) (depending on platelet counts and renal function). Ruxolitinib will be administered in the morning and evening. Dosing will be adjusted according to toxicity and kidney function; open design, single arm,Treatment,None (Open Label)","gender:All,Min Age:18 Years,Max Age:N/A",No,15
NCT04468139,Recruiting,"June 20, 2020","July 30, 2020",Covid-19,"N/A,Single Group Assignment,Treatment,None (Open Label)","gender:All,Min Age:18 Years,Max Age:N/A",No,60
NCT04432948,Recruiting,"May 15, 2020",December 2020,"Covid-19,Maternal Psychological Distress,Anesthesia","Other,Prospective","sampling_method:Probability Sample,gender:Female,Min Age:18 Years,Max Age:N/A",No,200
NCT04327531,Completed,"March 26, 2020","May 28, 2020","COVID-19,Physician-Patient Relations","Ecologic or Community,Prospective","sampling_method:Probability Sample,gender:All,Min Age:25 Years,Max Age:55 Years",No,200
NCT04509973,Recruiting,"August 27, 2020","February 17, 2022","Covid19,Hypoxia","Randomized,Parallel Assignment,Treatment,Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)","gender:All,Min Age:18 Years,Max Age:N/A",No,1000
NCT04558385,"Active, not recruiting","July 1, 2020","October 30, 2020",Covid19,"Case-Only,Retrospective","sampling_method:Probability Sample,gender:All,Min Age:N/A,Max Age:N/A",No,275
NCT04386252,Not yet recruiting,July 2020,March 2021,COVID-19,"Randomized,Parallel Assignment,Prevention,Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)","gender:All,Min Age:18 Years,Max Age:N/A",N/A,180
NCT04445467,Recruiting,"August 1, 2020",November 2020,COVID,"Randomized,Parallel Assignment,Treatment,Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)","gender:All,Min Age:18 Years,Max Age:N/A",No,190
NCT04578158,Not yet recruiting,"October 26, 2020","April 25, 2021",COVID-19,"Randomized,Parallel Assignment,prospective, randomized, controlled, interventional,Treatment,Single (Participant),add on therapy will be performed with masked tablets","gender:All,Min Age:18 Years,Max Age:N/A",No,200
NCT04375124,Recruiting,"April 25, 2020","September 30, 2020",COVID-19,"Non-Randomized,Parallel Assignment,This group will receive angiotensin peptide (1-7) during their treatment at hospital.,Treatment,None (Open Label)","gender:All,Min Age:18 Years,Max Age:N/A",No,20
NCT04487977,Recruiting,"April 22, 2020","September 30, 2020",Airway Management,"Other,Cross-Sectional","sampling_method:Non-Probability Sample,gender:All,Min Age:N/A,Max Age:N/A",No,5000
NCT04479982,Recruiting,"September 24, 2020","December 31, 2020",Covid19,"Other,Prospective","sampling_method:Non-Probability Sample,gender:All,Min Age:N/A,Max Age:N/A",No,70
NCT04359615,Not yet recruiting,"April 20, 2020","May 5, 2020",COVID-19,"Randomized,Parallel Assignment,The present study is a randomized, double-blind, placebo-controlled, clinical trial, with the approval of the ethics committee will be conducted on patients who have a positive test confirming COVID-19 in Shahid Modarres Medical Education Center and Hospital in Tehran. Patients will be randomly assigned to the two arms of the study and after completing the course of treatment and collecting and analyzing the necessary information from each patient, the results of the study will be published both on this site and in the form of an article in a reputable international journal.,Treatment,Triple (Participant, Care Provider, Investigator)","gender:All,Min Age:18 Years,Max Age:N/A",No,40
NCT04425863,"Active, not recruiting","May 1, 2020","August 10, 2020","Severe Acute Respiratory Syndrome,Ventilation Pneumonitis","Cohort,Prospective","sampling_method:Non-Probability Sample,gender:All,Min Age:5 Years,Max Age:N/A",No,100
NCT04521296,Not yet recruiting,August 2020,December 2020,Mild to Moderate COVID-19,"Randomized,Parallel Assignment,Treatment,Double (Participant, Investigator)","gender:All,Min Age:19 Years,Max Age:N/A",No,90
